title,artist,year,source,lyrics
Feather,Sabrina Carpenter,2024,human,"Oh, it's like that
I'm your dream come true
when it's on a platter for you
Then you pull back
When I try to make plans
more than two hours in advance



I slam the door

I hit ""Ignore""

I say, ""No, no, no, no more.""

I got you blocked after this an after thought

I finally cut you off



I feel so much lighter, like a feather with you off my mind

Floating through the memories, like whatever, you're a waste of time

Your signals are mixed

You act like a bitch

You fit every stereotype, send the pic

I feel so much lighter, like a feather with you out my life

With you off my mind



Like a feather, like a feather, like a feather



It feels so good

Not caring where you are tonight

And it feels so good

Not pretending to like the one you like



I slam the door

I hit ""Ignore""

I say, ""No, no, no, no more.""

I got you blocked

Excited to never talk

I, I'm so sorry for your loss



I feel so much lighter, like a feather with you off my mind

Floating through the memories, like whatever, you're a waste of time

Your signals are mixed

You act like a bitch

You fit every stereotype, send the pic

I feel so much lighter, like a feather with you out my life

With you off my mind



Like a feather, like a feather, like a feather



You want me, I'm gone

You miss me, no duh

Where I'm at, I'm up

Where I'm at



You want me, I'm done

You miss me, no duh

Where I'm at, I'm up

Where I'm at



You want me, I'm done, you miss me, no duh

I feel so much lighter like a feather with you off my mind

Where I'm at, I'm up, where I'm at

Like a feather, like a feather, like a feather



You want me, I'm done, you miss me, no duh

I feel so much lighter like a feather with you off my mind

Where I'm at, I'm up, where I'm at

Like a feather, like a feather, like a feather, yeah"
We Can't Be Friends (Wait for Your Love),Ariana Grande,2024,human,"I didn't think you'd understand me
How could you ever even try?
I don't wanna tiptoe, but I don't wanna hide
But I don't wanna feed this monstrous fire
Just wanna let this story die
And I'll be alright



We can't be friends

But I'd like to just pre-etend

You cling to your papers and pens

Wait until you like me again

Wait for your love

My love, I'll wait for your love



Me and my truth, we sit in silence

Mmm, baby girl, it's just me and you

'Cause I don't wanna argue, but I don't wanna bite

My tongue, yeah, I think I'd rather die

You got me misunderstood

But at least I look this good



We can't be friends

But I'd like to just pre-etend

You cling to your papers and pens

Wait until you like me again

Wait for your love

My love, I'll wait for your love

I'll wait for your love

My love, I'll wait for your love



Know that you made me

I don't like how you paint me, yet I'm still here hanging

Not what you made me

It's something like a daydream

But I feel so seen in the night

So for now, it's only me

And maybe that's all I need



We can't be friends

But I'd like to just pre-etend

You cling to your papers and pens

Wait until you like me again

Wait for your love

My love, I'll wait for your love

I'll wait for your love

My love, I'll wait for your love



I'll wait for your love

I'll wait for your love

I'll wait for your love

I'll wait for your love

I'll wait for your love"
Austin,Dasha,2024,human,"We had a plan, move out of this town, baby
West to the sand, it's all we talked about lately
I'd pack the car, bring your guitar and jane for smoking
First thing at dawn, you'd cue the songs and we'd get going
But you weren't home, waited on the porch for ya
Sat there alone, all throughout the morning 'til I

Got a hunch down in the gut and snuck around the back

Empty cans and I'll be damned, your shit was never packed



Did your boots stop working?

Did your truck break down?

Did you burn through money?

Did your ex find out?

Where there's a will, then there's a way

And I'm damn sure you lost it

Didn't even say goodbye

Just wish I knew what caused it

Was the whiskey flowing?

Were you in a fight?

Did the nerves come get you?

What's your alibi?

I made my way back to LA

And that's where you'll be forgotten

In 40 years you'll still be here

Drunk washed up in Austin



Hell of a bluff, you had me believing

How many months did you plan on leaving?

What happened? Bad habits?

Did you go back? Go batshit?

I loved you, how tragic, oh



Did your boots stop working?

Did your truck break down?

Did you burn through money?

Did your ex find out?

Where there's a will, then there's a way

And I'm damn sure you lost it

Didn't even say goodbye

Just wish I knew what caused it

Was the whiskey flowing?

Were you in a fight?

Did the nerves come get you?

What's your alibi?

I made my way back to LA

And that's where you'll be forgotten

In 40 years you'll still be here

Drunk washed up in Austin



Did your truck break down?

Did your ex find out?"
Last Night,Morgan Wallen,2024,human,"Last night we let the liquor talk
I can't remember everything we said but we said it all
You told me that you wish I was somebody you never met
But baby, baby somethin's tellin' me this ain't over yet
No way it was our last night

I kiss your lips

Make you grip the sheets with your fingertips

Last bottle of Jack we split a fifth

Just talk about life goin' sip for sip

You, you know you love to fight

And I say shit I don't mean

But I'm still gon' wake up wantin' you and me



I know that last night we let the liquor talk

I can't remember everything we said but we said it all

You told me that you wish I was somebody you never met

But baby, baby somethin's tellin' me this ain't over yet

No way it was our last night

No way it was our last night



No way it was the last night that we break up

I see your tail lights in the dust

You call your momma, I call your bluff

In the middle of the night, pull it right back up

Yeah my, my friends say let her go

Your friends say what the hell

I wouldn't trade your kind of love for nothin' else



Oh baby, last night we let the liquor talk

I can't remember everything we said but we said it all

You told me that you wish I was somebody you never met

But baby, baby somethin's tellin' me this ain't over yet



No way it was our last night, we said we'd had enough

I can’t remember everything we said but we said too much

I know you packed your shit and slammed the door right before you left

But baby, baby somethin’s tellin’ me this ain’t over yet

No way it was our last night

No way it was our last night



I know you said this time you really weren’t coming back again

But baby, baby somethin’s tellin’ me this ain’t over yet

No way it was our last night

No way it was our last night"
Cowgirls,Morgan Wallen featuring Ernest,2024,human,"She'll set the field on fire just cuttin' across a pasture
She'll have you fallin' for it all and then leave right after
And she got a cold heart
But she got a warm smile
Cut from the same cloth
She kinda buck wild

Little bit angel

Whole lotta outlaw

She's trouble but I'll tell you right now, y'all



Long live cowgirls

Never gonna settle on down girls

Leave you in a lonely ghost town world

Where the sun don't rise

Rodeo for one night

Love you like a mustang

One hand on them giddy-up reins

Hole in your heart with some good aim

On a goodbye ride

But it's fine 'cause it's kinda my thing

Long live cowgirls

Yeah, long live cowgirls



I hate that I love the way them kisses taste like whiskey

How they wake up, take on off, and not even miss me

Leave this heart broken, holding that smokin' gun

I guess that's just the way them wild horses run

Let 'em run



Long live cowgirls

Never gonna settle on down girls

Leave you in a lonely ghost town world

Where the sun don't rise

Rodeo for one night

Love you like a mustang

One hand on them giddy-up reins

Hole in your heart with some good aim

On a goodbye ride

But it's fine 'cause it's kinda my thing

Long live cowgirls

Yeah, long live cowgirls



Come on, cowgirls

Don't you wanna take me away?

Lay me on down, girl

With the wild kind of lovin' you make

For God's sake



Long live cowgirls

Never gonna settle on down girls

Leave you in a lonely ghost town world

Where the sun don't rise

Rodeo for one night

Love you like a mustang

One hand on them giddy-up reins

Hole in your heart with some good aim

On a goodbye ride

But it's fine 'cause it's kinda my thing

Long live cowgirls

Yeah, long live cowgirls

Long live cowgirls

Yeah, long live cowgirls"
Pink Skies,Zach Bryan,2024,human,"The kids are in town for a funeral
So pack the car and dry your eyes
I know they got plenty of young blood left in em
And plenty nights under pink skies
You taught em to enjoy

So clean the house

Clear the drawers

Mop the floors

Stand tall

Like no ones ever been here

Before or at all

And don't you mention all the inches

That are scraped on the door frame

We all know you tip toed up to 4'1 back in '08



If you could see em now

You'd be proud

But you'd think they's yuppies

Your funeral was beautiful

I bet God heard you coming



The kids are in town for a funeral

And the grass all smells the same as the day you broke your arm swinging

I'm that kid out on the river

You bailed him out

Never said a thing about Jesus or the way he's living



If you could see em now

You'd be proud

But you'd think they's yuppies

Your funeral was beautiful

I bet God heard you coming



If you could see em now

You'd be proud

But you'd think they's yuppies

Your funeral was beautiful

I bet God heard you coming



The kids are in town for a funeral

So pack the car and dry your eyes

I know they got plenty young blood left in em

And plenty nights under pink skies

You taught em to enjoy"
Thinkin' Bout Me,Morgan Wallen,2024,human,"Don't know where you at
Don't know where you been
Don't know nothin' 'bout that boy you're into
Don't feel bad for you but I feel bad for him
And all the hell you gon' be puttin' him through
Probably tell him we're a burnt out flame

Probably tell him that I ain't been on your mind

How I ain't nothin' but a long gone thing

You can curse my name but baby, don't you lie



When you're tasting what he's drinking, are you thinkin' 'bout me?

When you're ridin' where he's drivin', are you missing my street?

Every time you close your eyes, tell me, who do you see?

When you're tasting what he's drinking, are you thinkin' 'bout me?

Comin' over tonight, wish that truck in your driveway was mine

It's like you know it's supposed to be

When you're up in his bed, am I up in your head?

Makin' you crazy, tell me, baby, are you thinkin' 'bout me?

Are you thinkin' 'bout, are you thinkin' 'bout

When you're tasting what he's drinking, are you thinkin' 'bout me?



Do you hide your phone? Did you change my name?

When he wants to go to our go-to place

Do you tell him you came then go out of your way

To be somewhere, any damn where I ain't



When you're tasting what he's drinking, are you thinkin' 'bout me?

When you're ridin' where he's drivin', are you missing my street?

Every time you close your eyes, tell me, who do you see?

When you're tasting what he's drinking, are you thinkin' 'bout me?

Comin' over tonight, wish that truck in your driveway was mine

It's like you know it's supposed to be

When you're up in his bed, am I up in your head?

Makin' you crazy, tell me, baby, are you thinkin' 'bout me?

Are you thinkin' 'bout, are you thinkin' 'bout

When you're tasting what he's drinking, are you thinkin' 'bout me?



Don't know where you at

But girl, I know where you oughta be



When you're tasting what he's drinking, are you thinkin' 'bout me?

When you're ridin' where he's drivin', are you missing my street?

Every time you close your eyes, tell me, who do you see?

When you're tasting what he's drinking, are you thinkin' 'bout me?

Comin' over tonight, wish that truck in your driveway was mine

It's like you know it's supposed to be

When you're up in his bed, am I up in your head?

Makin' you crazy, tell me, baby, are you thinkin' 'bout me?

Yeah, are you thinkin' 'bout me?

Are you thinkin' 'bout me?"
Texas Hold 'Em,Beyoncé,2024,human,"This ain't Texas (Woo), ain't no hold 'em (Hey)
So lay your cards down, down, down, down
So park your Lexus (Woo) and throw your keys up (Hey)
Stick around, 'round, 'round, 'round, 'round (Stick around)
And I'll be damned if I can't slow dance with you
Come pour some sugar on me, honey too

It's a real life boogie and a real life hoedown

Don't be a bitch, come take it to the floor now (Woo, ha, woo)



There's a tornado (There's a tornado) in my city (In my city)

In the basement (In the basement), that shit ain't pretty (Shit ain't pretty)

Rugged whiskey (Rugged whiskey) 'cause we survivin' ('Cause we survivin')

Off red cup kisses, sweet redemption, passin' time, yeah



Ooh, one step to the right

We headin' to the dive bar we always thought was nice

Ooh, run me to the left

Then spin me in the middle, boy, I can't read your mind



This ain't Texas (Woo), ain't no hold 'em (Hey)

So lay your cards down, down, down, down

So park your Lexus (Woo) and throw your keys up (Hey)

Stick around, 'round, 'round, 'round, 'round (Stick around)

And I'll be damned if I can't slow dance with you

Come and pour some sugar on me, honey too

It's a real life boogie and a real life hoedown

Don't be a bitch, come take it to the floor now (Woo)



And I'll be damned if I cannot dance with you

Come and pour some liquor on me, honey too

It's a real life boogie and a real life hoedown

Don't be a bitch, come take it to the floor now (Woo)



Woo-hoo

Woo-hoo

Woo-hoo



There's a heatwave (There's a heatwave) coming at us (Coming at us)

Too hot to think straight (Too hot to think straight), too cold to panic (Too cold to panic)

All of the problems just feel dramatic (Just feel dramatic)

And now we're runnin' to the first spot that we find, yeah



Ooh, one step to the right

We headin' to the dive bar we always thought was nice

Ooh, you run to the left

Just with me in the middle boy, I can't read your mind



This ain't Texas (Woo), ain't no hold 'em (Hey)

So lay your cards down, down, down, down (Oh)

So park your Lexus (Hey) and throw your keys up (Hey)

Stick around,' round, 'round, 'round, 'round (Stick around)

And I'll be damned if I cannot slow dance with you

Come pour some sugar on me, honey, too

It's a real life boogie and a real life hoedown

Don't be a bitch, come take it to the floor now (Woo)



And I'll be damned if I cannot dance with you

Come pour some liquor on me honey, too

It's a real life boogie and a real life hoedown

Don't be a—, come take it to the floor now, ooh



Take it to the floor now, ooh

Hoops, spurs, boots

To the floor now, ooh

Tuck, back, oops (Ooh, ooh, ooh)

Shoot

Come take it to the floor now, ooh

And I'll be damned if I cannot dance with you

Baby, pour that sugar and liquor on me too

Furs, spurs, boots

Solargenic, photogenic, shoot"
Miles on It,Marshmello and Kane Brown,2024,human,"New truck, big lift
Old roads, we've been
Tearin' up since way back when
But these wheels are innocent
New hitch, new seats, no history
And you just can't fake that

So, let's change that



Girl, let's go put some miles on it

Back of the Chevy with the engine runnin'

Just you and me in a truck bed wide like a California King

We could break it in if you know what I mean

Put some miles on it

Back of the Chevy with the engine runnin'

Just you and me in a truck bed wide like a California King

Wе could break it in if you know what I mean

Put some milеs on it

We could break it in if you know what I mean



All night, no brakes

All tail, no gate

Ain't gotta try too hard

My baby's push to start

All torque, full speed

Off-road, on me

Zero to a hundred fast

My foot ain't touch the gas

I said, ""Hey, baby, slow it down, let's make it last""

You said, ""Where's the fun in that?""



Yeah, let's go, put some miles on it

Back of the Chevy with the engine runnin'

Just you and me in a truck bed wide like a California King

We could break it in if you know what I mean

Put some miles on it

We could break it in if you know what I mean

Put some miles on it

We could break it in if you know what I mean



Mile after mile after mile after mile

Turn up the night like that radio dial

Shoulder to shoulder where nobody knows

Know where we're goin', we ain't goin' home



We're puttin' miles on it

Back of the Chevy with the engine runnin'

Just you and me in a truck bed wide like a California King

We could break it in if you know what I mean

Put some miles on it

Back of the Chevy with the engine runnin'

Just you and me in a truck bed wide like a California King

We could break it in if you know what I mean

Put some miles on it

We could break it in if you know what I mean

Put some miles on it

We could break it in if you know what I mean

Put some miles on it"
I Can Do It with a Broken Heart,Taylor Swift,2024,human,"I can read your mind
""She's having the time of her life""
There in her glittering prime
The lights refract sequin stars
Off her silhouette every night
I can show you lies



'Cause I'm a real tough kid

I can handle my shit

They said, ""Babe, you gotta fake it 'til you make it""

And I did

Lights, camera, bitch, smile

Even when you want to die

He said he'd love me all his life

But that life was too short

Breaking down, I hit the floor

All the pieces of me shattered

As the crowd was chanting ""More!""

I was grinning like I'm winning

I was hitting my marks

'Cause I can do it with a broken heart



I'm so depressed, I act like it's my birthday

Every day

I'm so obsessed with him, but he avoids me

Like the plague

I cry a lot, but I am so productive

It's an art

You know you're good when you can even do it with a broken heart



I can hold my breath

I've been doing it since he left

I keep finding his things in drawers

Crucial evidence, I didn't imagine the whole thing

I'm sure I can pass this test



'Cause I'm a real tough kid

I can handle my shit

They said, ""Babe, you gotta fake it 'til you make it""

And I did

Lights, camera, bitch, smile

In stilettos for miles

He said he'd love me for all time

But that time was quite short

Breaking down, I hit the floor

All the pieces of me shattered

As the crowd was chanting ""More!""

I was grinning like I'm winning

I was hitting my marks

'Cause I can do it with a broken heart



I'm so depressed, I act like it's my birthday

Every day

I'm so obsessed with him, but he avoids me

Like the plague

I cry a lot, but I am so productive

It's an art

You know you're good when you can even do it with a broken heart



You know you're good when you can even do it with a broken heart

You know you're good, and I'm good

'Cause I'm miserable!

And nobody even knows!

Try and come for my job"
Wild Ones,Jessie Murph and Jelly Roll,2024,human,"Hm-mm, yeah, yeah
Got me wide, wide open, got a .45 on him
And he pushing 'bout a 102
Always smokin' somethin', he ain't worried 'bout nothin'
'Cause he ain't got nothing to lose



I got a thing for the hard liquor on ice

Short days and long nights

Marlboros out the window

Middle finger to the sky

Say you wanna get dangerous

Now you're speaking my language

I forgot what your name is

So, I'ma call you mine, I'ma call you mine



Got me wide, wide open, got a .45 on him

And he pushing 'bout a 102

Always smokin' somethin', he ain't worried 'bout nothin'

'Cause he ain't got nothing to lose



I got a thing for the wild ones (Wild, wild, wild)

I got a thing for the wild ones, it's like he knew

I got a thing for the wild ones (Wild, wild, wild)

I got a thing for the wild ones, they like me too



(Yeah) I'm attracted to things that are really crazy

Asking me how I've been feeling lately

Coming for mine, then it's do or die

I won't let it slide, no stealing bases

No back-and-forth bargaining (Now)

No bitchin' and arguing

A whole lotta problems, living in Gotham

And Bunnie's my Harley Quinn (My Harley Quinn)



Was raised in the darkness, forgive me, I'm guarded (Guarded)

I have no shame, I'm in love with the heartless

The police will never take us alive and cowgirls don't cry



Got me wide, wide open, got a .45 on him

And he pushing 'bout a 102

Always smokin' somethin', he ain't worried 'bout nothin'

'Cause he ain't got nothing to lose



I got a thing for the wild ones (Wild, wild, wild)

I got a thing for the wild ones, it's like he knew

I got a thing for the wild ones (Wild, wild, wild)

I got a thing for the wild ones, they like me too



Yeah (Wild, wild, wild)

A thing for the wild ones (It's like he knew)

I got a thing for the wild ones (Wild, wild, wild)

Got a thing for the wild ones (They like me too, hm)"
Ain't No Love in Oklahoma,Luke Combs,2024,human,"I keep chasing that same old devil
Down the same old dead-end highway
Riding that storm running through my veins
Like a shot down tailspun airplane
Scared of nothing and I'm scared to death
I can't breathe and I catch my breath

But I keep chasing that same old devil

Down the same old dead-end highway



Ain't no love in Oklahoma

Just the whistle of a lone black train

You'll know when it's coming for ya

Riding in on the wind and rain



I got saved in the same Red River

The same Red River tryna drown me

It ain't knocking me down, I'm standing my ground

With the whole world falling all around me

I keep running, but I'm standing still

Pray for peacе, but I need the thrill

So I keep chasing that same old devil

Down thе same old dead-end highway



Ain't no love in Oklahoma

Just the whistle of a lone black train

You'll know when it's coming for ya

Riding in on the wind and rain



Ain't no love in Oklahoma

Just the whistle of a lone black train

You'll know when it's coming for ya

Riding in on the wind and rain

Ain't no love in Oklahoma

Just the whistle of a lone black train

You'll know when it's coming for ya

Riding in on the wind and rain"
Houdini,Eminem,2024,human,"Hey, Em, it's Paul
Uh, I was listening to the album
Good fucking luck, you're on your own
Guess who's back, back again?
Shady's back, tell a friend

Guess who's back? Guess who's back?

Guess who's back? Guess who's back?

Guess who's back? Guess who's back?

Guess who's back? (Haha)

Da-da-da, da, da, da, da, da, da

Da-da-da, da, da, da, da



Well, look what the stork brung (What?)

Little baby devil with the forked tongue

And it's stickin' out, yeah, like a sore thumb (Bleh)

With a forehead that it grew horns from (Look)

Still a white jerk (It's him), pullin' up in a Chrysler to the cypher

With the Vics, Percs and a Bud Light shirt

Lyrical technician (Yeah), an electrician (Yeah)

Y'all light work (Haha)

And I don't gotta play pretend, it's you I make believe (What?)

And you know I'm here to stay 'cause me (Why?)

If I was to ever take a leave (What?)

It would be aspirin' to break a feve' (Yeah)

If I was to ask for Megan Thee (What?)

Stallion if she would collab with me

Would I really have a shot at a feat? (Haha)

I don't know, but I'm glad to be back like



Abra-abracadabra (And for my last trick)

I'm 'bout to reach in my bag, bruh (Like)

Abra-abracadabra (And for my last trick, poof)

Just like that and I'm back, bro



Now, back in the days of old me (When?)

Right around the time I became a dope fiend (Oh)

Ate some codeine as a way of coping (Mm)

Taste of opiates, case of O.E.​

Turned me into smiley face emoji (Woo)

My shit may not be age-appropriate

But I will hit an eight-year-old in the face with a participation trophy

'Cause I have zero doubts

That this whole world's 'bout

To turn into some girl scouts

That censorship bureau's out to (Shut me down)

So when I started this verse

It did start off lighthearted at first (Hmm)

But it feels like I'm targeted

Mind-bogglin' how my profit has skyrocketed

Look what I pocketed

Yeah, the shit is just like y'all had been light joggin', and

I've been runnin' at full speed

And that's why I'm ahead like my noggin', and

I'm the fight y'all get in

When you debate who the best, but opps, I'm white chalkin' when

I step up to that mic, cock it then

""Oh my God, it's him! Not again!""



Abra-abracadabra (And for my last trick)

I'm 'bout to reach in my bag, bruh (Like)

Abra-abracadabra (And for my last trick, poof)

Just like that and I'm back, bro (Break it down)



Sometimes I wonder what the old me'd say (If what?)

If he could see the way shit is today (Look at this shit, man)

He'd probably say that everything is gay (Like happy)

What's my name? What's my name? (Slim Shady)



So how many little kids still wanna act like me? (Haha)

I'm a bigger prick than cacti be (Yeah)

And that's why these (What?)

Words sting just like you were being attacked by bees (Bzz)

In the coupe, leaning back my seat (What?)

Bumpin' R. Kelly's favorite group (Uh), the black guy (Guy) pees (Haha, pees)

In my Air Max 90s

White Ts, walkin' parental advisory

My transgender cat's Siamese (Why?)

Identifies as Black, but acts Chinese (Haha)

Like a motherfuckin' Hacky Sack, I treat (What?)

The whole world 'cause I got it at my feet (Yeah)

How can I explain to you (What?)

That even myself I'm a danger to? (Yeah)

I hop on tracks like a kangaroo

And say a few things or two to anger you

But fuck that, if I think that shit, I'ma say that shit

Cancel me, what? Okay, that's it

Go ahead, Paul, quit, snake-ass prick

You male cross-dresser (Haha), fake-ass bitch

And I'll probably get shit for that (Watch)

But you can all suck my dick, in fact

Fuck them, fuck Dre, fuck Jimmy, fuck me, fuck you

Fuck my own kids, they're brats (Fuck 'em)

They can screw off (Yeah), them and you all (Uh)

You too, Paul (Punk), got two balls

Big as RuPaul's (Woah)

What you thought you saw ain't what you saw (Nah)

'Cause you're never gon' see me

Caught sleepin' and see the kidnappin' never did happen (No)

Like Sherri Papini, Harry Houdini

I vanish into the thin air as I'm leaving like



Abra-abracadabra (And for my last trick)

I'm 'bout to reach in my bag, bruh (Like)

Abra-abracadabra (And for my last trick, poof)

Just like that and I'm back, bro"
Wanna Be,GloRilla and Megan Thee Stallion,2024,human,"GloRilla
Real hot girl shit
AceC, turn that heat up, nigga
On the gang, gang, on the gang, gang
Ah

He, he, he, he in love with Glo

Never got the cookie but got my name tatted (Ayy)

Killer where? Don't know who he killed, I heard that mane ratted (Damn)

Never full, when it's time to eat, I be his main platter

NYC, New York Fashion Week, Tommy Hil' jacket (Huh)

Tell these hoes to stay dangerous 'cause nere one of thеy niggas safe (Nah)

My nigga say he faithful, I still got a few hoеs just in case (Got too)

I can't lie, I used to simp so hard but them my old ways

It's three hundred sixty five days in a year, couldn't play with me on none of them days (Woo)

Fuckin' ass freaky nigga (Ugh)

Don't even wear no condoms (Freaky ass)

Don't know how to treat a lady (Like the fuck?)

I oughta smack your mama (Bitch)

Pussy wet, good ass neck (That's me), so I talk how I wanna

Save a nigga, who, bitch? Do I look like fuckin' Superwoman?

On the gang



He don't wanna be saved, don't save him

That is not my nigga, don't claim him

'Bout twenty missed calls, he faded

White boy wasted, Channing Tatum

He don't wanna be kept, don't keep him

He don't want the baby, then, bitch, don't keep it, ho

I don't get left, I'm a leaver (Real hot girl shit, ayy)

Hoes love me like Justin Bieber



I'm the B-A-D-D-E-S-T (Ah)

Same hoes hatin' used to wanna be besties (Besties)

You can get your wig turned like Effie (Like Effie)

I don't need insurance 'cause a bitch can't wreck me (Baow, baow)

Ready or not, I'm comin' like Freddy (Like Freddy)

I'm mother, and you know my trick is your daddy (Your daddy)

Clock that tea, bitch, catch it (Bitch, catch it)

You look like a discount me on Etsy (Ayy)

I'm the female titan, I'm steppin' on bitches

I'm showin' my titties (Yeah), I tore up the city (Yeah)

A P-I-M-P (Yeah), I be hoein' these niggas (Yeah)

He run back to me (Yeah) 'cause you borin' a nigga (Borin' a nigga)

Fuck is a layover? I ain't waitin' (I ain't waitin')

I get the bag then I change destinations (Yeah)

These niggas be crazy, I don't blame 'em

I'm a dog too, I don't wanna change him (Huh)



He don't wanna be saved, don't save him (Save him)

That is not my nigga, don't claim him (Yeah)

'Bout twenty missed calls, he faded (Yeah, yeah)

White boy wasted, Channing Tatum (Huh, Channing Tatum)

I don't wanna be saved, don't save me (Don't save me)

You for everybody, nigga, don't claim me (Don't claim me)

Hate a nigga tryna tell me what to do

You ain't my daddy, I'm not your baby (Not your baby)

He don't wanna be saved, don't save him

That is not my nigga, don't claim him

'Bout twenty missed calls, he faded

White boy wasted, Channing Tatum

He don't wanna be kept, don't keep him

He don't want the baby, then bitch, don't keep it, ho

I don't get left, I'm a leaver

Hoes love me like Justin Bieber (Ah)



Go Meg

Go Meg (Baow)

Go Meg (Baow)

Go Meg (Baow)

Go Meg (Baow)

Go Meg (Baow)

Go Meg (Ah)

Get 'em Glo (Ayy)

Get 'em Glo (Huh)

Get 'em Glo (Woo)

Get 'em Glo (Hey)

Get 'em Glo (Huh)

Get 'em Glo (Woo, yeah)

On the gang, gang

Fuck you mean? Y'all know what the fuck goin' on, huh, huh

On the gang, gang, on the gang, gang"
Slow It Down,Benson Boone,2024,human,"I'd never met you, but I wanted
To invite you to the party
Then you walked in with those green eyes
Never stolen by nobody
And they flicker to the future
For a moment, I could picture

Then you touch me, and I come back

And we're talking on the staircase

'Bout your big dreams on the big screens

Out of Georgia, now you're lonely in this city

Lying with me

And you're scared it's moving quickly

Oh, now you're crying, you're in pieces

'Cause the only love you've ever known is Jesus

I can feel it

Oh, I hate that I'm the reason that you're



In your head right now

While your world is spinning out



So, slow it down

Take a moment now

We're too young to drown

Deep in dirty waters

Full of hopeless doubt

Let me pull you out

Let me hold you now

Let me slow it down



Ain't it funny how it changes

How the future rearranges?

I get nervous, oh I'm anxious

Maybe loving you is dangerous

I could lose you like the others

Only girl that's never left me is my mother

Oh, I love her

And I know you probably hate it, but I'm



In my head right now



So, slow it down

Take a moment now

We're too young to drown

Deep in dirty waters

Full of hopeless doubt

Let me pull you out

Let me hold you now

Let me—



Slow it

Slow it down

When you're on the ground

And you're crying

I'm trying (Slow it down)

To slow it down

When you're spinning 'round

In your head



Ooh-ooh-ooh, ooh-ooh

I'll help you slow it down"
Houdini,Dua Lipa,2024,human,"Okay
(Mmm)
I come and I go
Tell me all the ways you need me
I'm not here for long

Catch me or I go Houdini

I come and I go

Prove you got the right to please me

Everybody knows

Catch me or I go Houdini



Time is passin' like a solar eclipse

See you watchin' and you blow me a kiss

It's your moment, baby, don't let it slip

Come in closer, are you readin' my lips?



They say I come and I go

Tell me all the ways you need me

I'm not here for long

Catch me or I go Houdini

I come and I go

Prove you got the right to please me

Everybody knows

Catch me or I go Houdini



If you're good enough, you'll find a way

Maybe you could cause a girl to change her ways

Do you think about it night and day?

Maybe you could be the one to make me stay



Everything you say is soundin' so sweet (Ah-ah)

But do you practice everything that you preach? (Ah-ah)

I need something that'll make me believe (Ah-ah)

If you got it, baby, give it to me



They say I come and I go

Tell me all the ways you need me

I'm not here for long

Catch me or I go Houdini

I come and I go (I come and I go)

Prove you got the right to please me

Everybody knows (I'm not here for long)

Catch me or I go Houdini



If you're good enough, you'll find a way

Maybe you could cause a girl to change her ways

Do you think about it night and day?

Maybe you could be the one to make me stay



Oh-oh

Ooh



I come and I go

Tell me all the ways you need me (Ooh)

I'm not here for long

Catch me or I go Houdini

I come and I go (I come and I go)

Prove you got the right to please me

Everybody knows (I'm not here for long)

Catch me or I go Houdini



Houdini

Catch me or I go Houdini"
Yeah Glo!,GloRilla,2024,human,"GloRilla (B100)
Go Grizz
On the gang, gang
On the gang, gang
Woo

Yeah, run up on big Glo, you won't, I bet your ass be on the floor

Big carbon hit like Mayweather, Tula come through and bow a ho

Got millions out that rap shit, they hate a bitch, but they stole the flow

Got backend after backend comin', fuck 'em, I stole the show

Don't run up on that bitch, she a headcase, all she do is shoot

I signed my deal up on a PJ and hopped out a parachute

I'm geeked, don't ask me 'bout no more features, I might just stare at you

I'm geeked, don't ask me 'bout no more features, I might embarrass you



Yeah Glo! Stomp a lil' pussy ho with some shell toes

Yeah Glo! Slappin' rap bitches and makin' bail, ho

Yeah Glo! Two-tone Cartier match the nails, ho

Yeah Glo! No competition, these bitches stale, ho

Yeah Glo! Cuban on Cuban, my shit in layers, ho

Yeah Glo! Say they get money, but I can't tell, ho

Yeah Glo! Keep runnin' circles around these snail hoes

Yeah Glo! And my shit bumpin' up in the jail, ho

On the gang



Big Glo, where you been at? Mane, everywhere, I'm workin' hard

Maybach and G-Wagon trucks, got M&M's in my garage

Quick to crank up on a ho, you bitches better not get me started

Locked in with the gangstas and players, my folks gon' keep it solid

Everything I got on new, it look like I got renovated (Ayy)

I'm cocky, bitch, when I was just humble they didn't appreciate it (Fuck 'em)

Young wealthy and ratchet, I'm the hood bitches' motivation (Stamped it)

On top of the world now, they tried to underestimate me (Haha)

Get 'em Glo! Them bitches fraudulent, you know the truth

Get 'em Glo! Stop overthinkin', these hoes can't fuck with you (Period)

Get 'em Glo! Standin' on business in these Chanel shoes

Before I let a ho play with me, I'll go eat some jail food, on gang



Yeah Glo! Stomp a lil' pussy ho with some shell toes

Yeah Glo! Slappin' rap bitches and makin' bail, ho

Yeah Glo! Two-tone Cartier match the nails, ho

Yeah Glo! No competition, these bitches stale, ho

Yeah Glo! Cuban on Cuban, my shit in layers, ho

Yeah Glo! Say they get money, but I can't tell, ho

Yeah Glo! Keep runnin' circles around these snail hoes

Yeah Glo! And my shit bumpin' up in the jail, ho

On the gang



Yeah Glo!

Yeah Glo!"
